year,month,stateDescription,sectorName,customers,price,revenue,sales
2001,2,Mississippi,commercial,,6.67,54.44084,816.69888
2001,2,Mississippi,industrial,,4.2,49.88066,1187.46241
2001,2,Mississippi,other,,8.44,5.24083,62.12141
2001,2,Mississippi,residential,,6.69,86.93948,1299.79807
2001,2,Missouri,all sectors,,5.35,320.07028,5980.7014
2001,2,Missouri,commercial,,5.15,102.11064,1982.83498
2001,2,Missouri,industrial,,3.89,46.20046,1187.53732
2001,2,Missouri,other,,6.07,5.06731,83.44686
2001,2,Missouri,residential,,6.11,166.69187,2726.88224
2001,2,Montana,all sectors,,7.16,72.11128,1007.80023
2001,2,Montana,commercial,,6.0,19.07543,317.73127
2001,2,Montana,industrial,,9.32,26.96689,289.22926
2001,2,Montana,other,,7.19,1.90165,26.46293
2001,2,Montana,residential,,6.46,24.1673,374.37676
2001,2,Nebraska,all sectors,,4.95,99.06459,2002.3435
2001,2,Nebraska,commercial,,5.1,28.43148,557.75772
2001,2,Nebraska,industrial,,3.74,21.36679,570.91095
2001,2,Nebraska,other,,5.95,6.09958,102.51616
2001,2,Nebraska,residential,,5.6,43.16673,771.15867
2001,2,Nevada,all sectors,,6.42,120.87018,1883.84015
2001,2,Nevada,commercial,,7.25,32.68382,450.97431
2001,2,Nevada,industrial,,4.85,37.87784,781.42791
2001,2,Nevada,other,,5.14,2.47689,48.2326
2001,2,Nevada,residential,,7.93,47.83164,603.20533
2001,2,New Hampshire,all sectors,,11.31,95.38845,843.22505
2001,2,New Hampshire,commercial,,11.08,32.52519,293.64725
2001,2,New Hampshire,industrial,,8.99,19.73093,219.44576
2001,2,New Hampshire,other,,14.39,1.58327,11.0001
2001,2,New Hampshire,residential,,13.02,41.54905,319.13194
2001,2,New Jersey,all sectors,,8.77,497.23379,5669.27019
2001,2,New Jersey,commercial,,8.54,223.19621,2613.8159
2001,2,New Jersey,industrial,,8.11,80.83203,996.94736
2001,2,New Jersey,other,,11.35,4.97568,43.85465
2001,2,New Jersey,residential,,9.34,188.22987,2014.65228
2001,2,New Mexico,all sectors,,6.99,102.61477,1467.42359
2001,2,New Mexico,commercial,,7.15,34.83779,486.90235
2001,2,New Mexico,industrial,,6.06,26.90167,444.12818
2001,2,New Mexico,other,,6.13,6.80876,111.08732
2001,2,New Mexico,residential,,8.01,34.06655,425.30575
2001,2,New York,all sectors,,11.17,1342.68513,12017.39501
2001,2,New York,commercial,,12.31,595.16861,4835.57347
2001,2,New York,industrial,,5.72,133.34221,2331.43616
2001,2,New York,other,,8.57,98.42067,1148.71112
2001,2,New York,residential,,13.93,515.75364,3701.67426
2001,2,North Carolina,all sectors,,6.56,625.07312,9524.66093
2001,2,North Carolina,commercial,,6.51,180.8178,2778.6753
2001,2,North Carolina,industrial,,4.6,111.49079,2422.95019
2001,2,North Carolina,other,,6.12,11.42477,186.57519
2001,2,North Carolina,residential,,7.77,321.33976,4136.46025
2001,2,North Dakota,all sectors,,5.28,48.38309,917.16253
2001,2,North Dakota,commercial,,5.73,15.65539,273.10746
2001,2,North Dakota,industrial,,4.15,8.81296,212.48374
2001,2,North Dakota,other,,3.64,1.55343,42.64248
2001,2,North Dakota,residential,,5.75,22.36132,388.92886
2001,2,Ohio,all sectors,,6.36,841.805,13229.09975
2001,2,Ohio,commercial,,8.58,257.82368,3005.61322
2001,2,Ohio,industrial,,4.19,247.10707,5893.52911
2001,2,Ohio,other,,6.71,21.3415,318.17886
2001,2,Ohio,residential,,7.87,315.53275,4011.77856
2001,2,Oklahoma,all sectors,,5.83,211.36005,3625.49366
2001,2,Oklahoma,commercial,,6.07,57.17249,941.70873
2001,2,Oklahoma,industrial,,4.83,49.43795,1022.85267
2001,2,Oklahoma,other,,3.35,7.37744,219.95826
2001,2,Oklahoma,residential,,6.76,97.37216,1440.97401
2001,2,Oregon,all sectors,,5.02,223.73423,4459.20011
2001,2,Oregon,commercial,,5.12,63.82254,1245.79974
2001,2,Oregon,industrial,,3.7,48.06906,1298.41995
2001,2,Oregon,other,,7.08,2.85252,40.27802
2001,2,East North Central,industrial,,4.2,759.56746,18073.47113
2001,2,East North Central,other,,6.95,94.50808,1359.47698
2001,2,East North Central,residential,,7.77,1092.81172,14070.0265
2001,2,West North Central,all sectors,,5.59,1128.77967,20180.91477
2001,2,West North Central,commercial,,5.57,346.78512,6221.47618
2001,2,West North Central,industrial,,4.14,236.33739,5702.55191
